Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Manual,Petrol,Karachi,65000,"
SuzukiMehran2019VXREuroIIforSale
",900000.0,800,2
Automatic,Hybrid,Karachi,90000,"
ToyotaPrius2017SforSale
",0,1800,4
Automatic,Hybrid,Karachi,76861,"
ToyotaAqua2017GLEDSoftLeatherSelection...
",0,1500,4
Automatic,Petrol,Karachi,120000,"
ToyotaCorolla2011GLiAutomatic1.6VVTifo...
",1945000.0,1600,10
Automatic,Petrol,Karachi,19500,"
ToyotaPrado2018TXLimited2.7forSale
",0,2700,3
Automatic,Petrol,Karachi,83000,"
ToyotaPrado2010TX2.7forSale
",11200000.000000002,2700,11
Automatic,Petrol,Karachi,45350,"
ToyotaVitz2017F1.0forSale
",2525000.0,1000,4
Automatic,Diesel,Karachi,36000,"
ToyotaHilux2021RevoG2.8forSale
",0,2800,0
Automatic,Petrol,Karachi,5000,"
LexusLXSeries2016LX570forSale
",0,5700,5
Automatic,Petrol,Karachi,63000,"
ToyotaPrado2014TZG4.0forSale
",0,4000,7
Manual,Diesel,Karachi,39000,"
ToyotaHilux2016RevoG2.8forSale
",0,2800,5
Automatic,Hybrid,Karachi,82000,"
ToyotaAqua2015LforSale
",2425000.0,1500,6
Automatic,Petrol,Karachi,92000,"
ToyotaPasso2013forSale
",1700000.0,1000,8
Automatic,Petrol,Karachi,79000,"
HondaCivicRebirth2015VTiProsmatec1.8i-V...
",2500000.0,1800,6
Automatic,Petrol,Karachi,3500,"
ToyotaYaris2021ATIVXCVT1.5forSale
",3050000.0,1500,0
Automatic,Petrol,Karachi,51000,"
HondaVezel2014HybridXLPackageforSale
",3250000.0,1500,7
Automatic,Petrol,Karachi,60000,"
NissanDayzHighwayStar2014forSale
",1515000.0,660,7
Automatic,Petrol,Karachi,54100,"
HondaCity2007i-DSIVarioforSale
",1375000.0,1300,14
Automatic,Petrol,Karachi,115000,"
ToyotaPasso2007G1.0forSale
",1215000.0,1000,14
Automatic,Hybrid,Karachi,180000,"
ToyotaCorolla2018forSale
",3000000.0,1500,3
Automatic,Hybrid,Karachi,20080,"
HondaVezel2017HybridZHondaSensingfor...
",4450000.0,1500,4
Automatic,Petrol,Karachi,86000,"
SuzukiAlto2013ECO-LforSale
",1350000.0,660,8
Manual,Petrol,Karachi,65000,"
ToyotaCorolla2018GLi1.3VVTiforSale
",2680000.0,1300,3
Automatic,Petrol,Karachi,35000,"
ToyotaCorolla2018AltisGrandeCVT-i1.8fo...
",3700000.0,1800,3
Automatic,Hybrid,Karachi,89000,"
HondaVezel2013HybridZforSale
",2890000.0,1500,8
Manual,Petrol,Karachi,36000,"
SuzukiAlto2019VXRforSale
",1350000.0,660,2
Automatic,Petrol,Karachi,11000,"
ToyotaCorolla2020AltisAutomatic1.6forSale
",3590000.0,1600,1
Manual,Petrol,Karachi,120000,"
DaihatsuCuore2005CXEcoforSale
",530000.0,800,16
Manual,Petrol,Karachi,63000,"
HondaCity20161.3i-VTECforSale
",2025000.0,1300,5
Manual,Petrol,Karachi,9000,"
SuzukiMehran2011VXR(CNG)forSale
",785000.0,800,10
Manual,Petrol,Karachi,60000,"
SuzukiWagonR2015VXLforSale
",1275000.0,1000,6
Automatic,Petrol,Karachi,100000,"
ToyotaVitz2006F1.0forSale
",1475000.0,1000,15
